"happy","unit","province","age","gender","urban"
1,1,"安徽",3,1,1
0,24,"上海",3,2,1
1,24,"上海",1,1,1
1,29,"浙江",1,2,1
1,24,"上海",4,2,1
1,24,"上海",4,2,1
1,15,"江苏",4,1,2
1,25,"四川",4,2,1
1,24,"上海",4,1,2
1,15,"江苏",2,1,1
1,24,"上海",3,1,1
1,24,"上海",2,2,1
1,24,"上海",1,1,1
1,24,"上海",1,1,1
1,24,"上海",4,1,1
1,24,"上海",3,1,1
1,24,"上海",4,2,1
1,1,"安徽",2,1,1
1,24,"上海",4,1,1
1,6,"广西",1,2,1
1,24,"上海",2,2,1
1,24,"上海",3,1,1
1,24,"上海",2,1,1
1,16,"江西",3,2,1
1,24,"上海",4,1,1
0,24,"上海",2,1,2
1,23,"陕西",2,2,2
0,24,"上海",4,2,1
1,22,"山西",3,1,2
1,24,"上海",3,2,1
1,1,"安徽",4,1,2
1,11,"黑龙江",2,1,1
1,24,"上海",1,1,1
1,1,"安徽",4,2,2
1,24,"上海",3,1,1
1,24,"上海",1,1,1
1,24,"上海",1,1,2
1,24,"上海",3,2,1
1,15,"江苏",2,2,1
1,24,"上海",4,1,2
1,24,"上海",4,2,1
1,24,"上海",4,2,1
1,24,"上海",4,1,1
1,12,"湖北",1,1,1
1,15,"江苏",2,2,2
1,25,"四川",3,2,2
1,4,"甘肃",4,1,1
1,11,"黑龙江",2,2,2
1,24,"上海",1,2,1
0,17,"辽宁",3,1,2
1,24,"上海",4,2,1
1,24,"上海",2,2,1
1,3,"福建",2,1,2
0,15,"江苏",2,1,2
1,24,"上海",1,2,1
1,1,"安徽",3,1,2
1,24,"上海",4,2,2
1,15,"江苏",4,1,2
1,15,"江苏",4,1,2
1,15,"江苏",2,1,1
1,15,"江苏",1,1,1
1,15,"江苏",2,2,2
1,15,"江苏",2,2,2
1,15,"江苏",3,2,2
1,15,"江苏",2,2,1
1,15,"江苏",1,2,2
1,15,"江苏",2,2,1
1,15,"江苏",4,2,1
